ts_utc,open,high,low,close,volume,amount,source
1788048600,2455.7,2456.04,2454.4,2456.04,22.964959,56392.081130168997,kucoin_legacy
1788048900,2456.24,2467.69,2456.24,2463.86,234.89335251,578753.427642786643,kucoin_legacy
1788049200,2463.89,2463.89,2461.11,2461.42,40.7657601,100358.292771287001,kucoin_legacy
1788049500,2461.41,2462.27,2461.2,2462.27,28.0240723,68984.153757006003,kucoin_legacy
1788049800,2462.79,2462.79,2460.15,2460.3,59.6629156,146822.412982734997,kucoin_legacy
1788050100,2460.31,2464.98,2460.31,2462.07,62.5322815,153961.31765141699,kucoin_legacy
1788050400,2462.06,2463.86,2460.42,2461.19,43.9603382,108223.810253682997,kucoin_legacy
1788050700,2460.99,2462.9,2460.62,2462.9,19.2848255,47472.162530526999,kucoin_legacy
1788051000,2462.89,2463.44,2460.47,2461.08,26.17493,64458.896829484002,kucoin_legacy
1788051300,2461.09,2461.09,2458.72,2459.15,12.2841714,30218.964246725001,kucoin_legacy
1788051600,2458.85,2460.4,2457.67,2460.38,17.7599894,43673.357348418001,kucoin_legacy
1788051900,2460.39,2460.39,2457.24,2457.46,15.1328389,37216.308104078002,kucoin_legacy
1788052200,2457.67,2457.94,2456.32,2456.4,17.627883,43304.592910544998,kucoin_legacy
1788052500,2456.43,2456.58,2453.21,2455.93,38.2075854,93776.093195698006,kucoin_legacy
1788052800,2455.93,2456.62,2455.42,2455.42,11.4074856,28020.141865206999,kucoin_legacy
1788053100,2455.41,2455.42,2453.01,2454.04,27.2087432,66761.668640167001,kucoin_legacy
1788053400,2454.05,2455.53,2453.43,2455.23,20.7798357,50997.576425915002,kucoin_legacy
1788053700,2455.23,2458.07,2455.23,2457.13,38.7150537,95098.128212605006,kucoin_legacy
1788054000,2456.94,2456.94,2455.85,2455.98,2.8491954,6998.176917229,kucoin_legacy
1788054300,2456.11,2458.91,2456.11,2458.9,47.1481662,115884.651987510006,kucoin_legacy
1788054600,2458.9,2459.26,2456.28,2456.42,55.5317947,136522.532315588993,kucoin_legacy
1788054900,2456.43,2456.51,2455.2,2456.43,21.4376369,52646.232533435999,kucoin_legacy
1788055200,2456.43,2457.65,2455.21,2457.65,24.5794068,60370.508501265998,kucoin_legacy
1788055500,2458.03,2458.53,2455.95,2456.75,11.9572487,29388.179472512998,kucoin_legacy
1788055800,2456.98,2458.37,2456.45,2458.15,4.5345496,11143.688350115999,kucoin_legacy
1788056100,2458.15,2458.49,2456.88,2457.42,1.6788229,4126.465285713,kucoin_legacy
