published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,max_up_pct_12,max_down_pct_12,close_change_pct_12,range_pct_12,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_36,max_down_pct_36,close_change_pct_36,range_pct_36,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_60,max_down_pct_60,close_change_pct_60,range_pct_60,max_up_pct_72,max_down_pct_72,close_change_pct_72,range_pct_72,max_up_pct_84,max_down_pct_84,close_change_pct_84,range_pct_84,max_up_pct_96,max_down_pct_96,close_change_pct_96,range_pct_96,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
2025-12-16T14:53:46+00:00,2025-12-16T16:53:46+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T14-53-46Z.json,1765893600,2941.16,1.1189,-1.0071,0.628,2.126,1.1189,-1.8693,-0.2553,2.9883,3.0447,-5.1058,-3.5357,8.1505,3.0447,-5.1058,-0.0932,8.1505,3.0447,-5.4795,-3.5823,8.5242,3.0447,-5.4795,1.4583,8.5242,3.0447,-5.4795,1.4107,8.5242,3.0447,-5.4795,1.2036,8.5242,2,1,-0.9357,11,4,-1.0071,25,26,-1.8693,25,26,-1.8693,,29,
2025-12-16T15:42:53+00:00,2025-12-16T17:42:53+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T15-42-53Z.json,1765897200,2933.47,1.384,-0.7476,0.5246,2.1316,3.3148,-1.6121,-0.1026,4.9269,3.3148,-4.857,-3.4304,8.1719,3.3148,-4.857,1.6482,8.1719,3.3148,-5.2317,-0.2904,8.5465,3.3148,-5.2317,1.2034,8.5465,3.3148,-5.2317,1.7075,8.5465,3.3148,-5.2317,1.4331,8.5465,1,3,-0.2785,1,23,-0.2785,24,25,-1.6121,24,25,-1.6121,,53,
2025-12-16T16:58:50+00:00,2025-12-16T18:58:50+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T16-58-50Z.json,1765900800,2940.47,1.1427,-0.9839,-0.2272,2.1265,3.0689,-3.6171,-2.788,6.686,3.0689,-5.0835,-3.4722,8.1524,3.0689,-5.0835,0.1265,8.1524,3.0689,-5.4573,-0.6132,8.5262,3.0689,-5.4573,1.0804,8.5262,3.0689,-5.4573,1.5137,8.5262,3.0689,-5.4573,1.1971,8.5262,2,1,-0.9839,9,18,-0.9839,23,24,-1.8463,23,24,-1.8463,,27,
2025-12-16T17:48:52+00:00,2025-12-16T19:48:52+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T17-48-52Z.json,1765904400,2927.4,1.5942,-0.5418,-0.0167,2.136,3.5291,-3.1868,-2.6132,6.7159,3.5291,-4.6598,-3.4293,8.1888,3.5291,-4.6598,-2.8595,8.1888,3.5291,-5.0352,-0.2371,8.5643,3.5291,-5.0352,0.9893,8.5643,3.5291,-5.0352,1.9652,8.5643,3.5291,-5.0352,1.7886,8.5643,1,1,-0.5418,1,21,-0.5418,22,23,-1.4081,22,23,-1.4081,,51,
2025-12-16T18:57:37+00:00,2025-12-16T20:57:37+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T18-57-37Z.json,1765908000,2953.94,0.6815,-1.3372,-0.5907,2.0187,2.5989,-5.0052,-4.844,7.6041,2.5989,-5.5164,-4.1531,8.1153,2.5989,-5.5164,-4.2939,8.1153,2.5989,-5.8884,-0.3172,8.4873,2.5989,-5.8884,0.5037,8.4873,2.5989,-5.8884,0.8974,8.4873,2.5989,-5.8884,0.7255,8.4873,7,1,-1.126,21,1,-2.2939,21,20,-2.2939,,22,,,24,
2025-12-16T19:32:29+00:00,2025-12-16T21:32:29+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T19-32-29Z.json,1765911600,2931.82,1.4411,-0.5928,0.6198,2.0339,3.373,-4.8035,-4.2342,8.1765,3.373,-4.8035,-3.2945,8.1765,3.373,-4.8035,-3.6486,8.1765,3.373,-5.1784,0.7494,8.5513,3.373,-5.1784,1.6433,8.5513,3.373,-5.1784,1.7583,8.5513,3.373,-5.1784,1.5482,8.5513,1,10,0.0,1,19,0.0,20,21,-1.5567,20,21,-1.5567,,49,
2025-12-16T20:43:34+00:00,2025-12-16T22:43:34+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T20-43-34Z.json,1765915200,2960.99,0.4417,-1.5721,-1.2364,2.0139,2.3546,-5.7413,-4.511,8.0959,2.3546,-5.7413,-4.0314,8.0959,2.3546,-6.1125,-5.559,8.4671,2.3546,-6.1125,-0.3083,8.4671,2.3546,-6.1125,1.1641,8.4671,2.3546,-6.1125,0.8143,8.4671,2.3546,-6.1125,0.7555,8.4671,19,1,-2.5265,19,8,-2.5265,19,18,-2.5265,,20,,,22,
2025-12-16T21:36:42+00:00,2025-12-16T23:36:42+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T21-36-42Z.json,1765918800,2952.33,0.7364,-1.2834,-0.8529,2.0198,2.6549,-5.4648,-4.6387,8.1197,2.6549,-5.4648,-3.2957,8.1197,2.6549,-5.8371,-4.4372,8.4919,2.6549,-5.8371,-0.0169,8.4919,2.6549,-5.8371,1.0219,8.4919,2.6549,-5.8371,1.1354,8.4919,2.6549,-5.8371,1.0388,8.4919,4,7,-0.2906,18,8,-2.2406,18,17,-2.2406,,19,,,22,
2025-12-16T22:39:17+00:00,2025-12-17T00:39:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T22-39-17Z.json,1765922400,2956.14,0.6065,-1.6082,-1.1786,2.2147,2.5225,-5.5867,-4.2995,8.1092,2.5225,-5.5867,-3.3067,8.1092,2.5225,-5.9584,-4.3371,8.481,2.5225,-5.9584,-0.0633,8.481,2.5225,-5.9584,1.1934,8.481,2.5225,-5.9584,0.6708,8.481,2.5225,-5.9584,0.6711,8.481,3,4,-0.4191,17,7,-2.3666,17,16,-2.3666,,18,,,20,
2025-12-16T23:33:40+00:00,2025-12-17T01:33:40+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T23-33-40Z.json,1765926000,2953.45,0.6982,-1.5186,-0.8289,2.2167,2.6159,-5.5007,-4.3925,8.1166,2.6159,-5.5007,-3.2911,8.1166,2.6159,-5.8728,-4.2141,8.4887,2.6159,-5.8728,0.45,8.4887,2.6159,-5.8728,1.0286,8.4887,2.6159,-5.8728,1.1705,8.4887,2.6159,-5.8728,0.7659,8.4887,2,3,-0.3284,16,6,-2.2777,16,15,-2.2777,,17,,,20,
