asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2025-12-16T15:42:53+00:00,2025-12-16T17:42:53+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T15-42-53Z.json,1765897200,2933.47,3.3148,-1.6121,-0.1026,4.9269,3.3148,-4.857,1.6482,8.1719,4.8884,-5.2317,-0.4401,10.1201,4.8884,-5.2317,1.6601,10.1201,1,3,-0.2785,1,23,-0.2785,24,25,-1.6121,24,25,-1.6121,,53,
ETH-USDT,2025-12-16T16:58:50+00:00,2025-12-16T18:58:50+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T16-58-50Z.json,1765900800,2940.47,3.0689,-3.6171,-2.788,6.686,3.0689,-5.0835,0.1265,8.1524,4.6387,-5.4573,0.6023,10.096,4.6387,-5.4573,1.3467,10.096,2,1,-0.9839,9,18,-0.9839,23,24,-1.8463,23,24,-1.8463,,27,
ETH-USDT,2025-12-16T17:48:52+00:00,2025-12-16T19:48:52+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T17-48-52Z.json,1765904400,2927.4,3.5291,-3.1868,-2.6132,6.7159,3.5291,-4.6598,-2.8595,8.1888,5.1059,-5.0352,0.3809,10.1411,5.1059,-5.0352,1.8528,10.1411,1,1,-0.5418,1,21,-0.5418,22,23,-1.4081,22,23,-1.4081,139,51,-5.0352
ETH-USDT,2025-12-16T18:57:37+00:00,2025-12-16T20:57:37+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T18-57-37Z.json,1765908000,2953.94,2.5989,-5.0052,-4.844,7.6041,2.5989,-5.5164,-4.2939,8.1153,4.1616,-5.8884,-0.2173,10.05,4.1616,-5.8884,0.6209,10.05,7,1,-1.126,21,1,-2.2939,21,20,-2.2939,126,22,-5.8884,,24,
ETH-USDT,2025-12-16T19:32:29+00:00,2025-12-16T21:32:29+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T19-32-29Z.json,1765911600,2931.82,3.373,-4.8035,-4.2342,8.1765,3.373,-4.8035,-3.6486,8.1765,4.9474,-5.1784,0.0761,10.1258,4.9474,-5.1784,1.1805,10.1258,1,10,0.0,1,19,0.0,20,21,-1.5567,20,21,-1.5567,,49,
ETH-USDT,2025-12-16T20:43:34+00:00,2025-12-16T22:43:34+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T20-43-34Z.json,1765915200,2960.99,2.3546,-5.7413,-4.511,8.0959,2.3546,-6.1125,-5.559,8.4671,3.9136,-6.1125,0.6238,10.026,3.9136,-6.1125,0.2421,10.026,19,1,-2.5265,19,8,-2.5265,19,18,-2.5265,124,20,-6.1125,,22,
ETH-USDT,2025-12-16T21:36:42+00:00,2025-12-16T23:36:42+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T21-36-42Z.json,1765918800,2952.33,2.6549,-5.4648,-4.6387,8.1197,2.6549,-5.8371,-4.4372,8.4919,4.2184,-5.8371,0.6388,10.0554,4.2184,-5.8371,0.3357,10.0554,4,7,-0.2906,18,8,-2.2406,18,17,-2.2406,123,19,-5.8371,,22,
ETH-USDT,2025-12-16T22:39:17+00:00,2025-12-17T00:39:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T22-39-17Z.json,1765922400,2956.14,2.5225,-5.5867,-4.2995,8.1092,2.5225,-5.9584,-4.3371,8.481,4.084,-5.9584,0.2598,10.0425,4.084,-5.9584,0.4834,10.0425,3,4,-0.4191,17,7,-2.3666,17,16,-2.3666,122,18,-5.9584,,20,
ETH-USDT,2025-12-16T23:33:40+00:00,2025-12-17T01:33:40+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T23-33-40Z.json,1765926000,2953.45,2.6159,-5.5007,-4.3925,8.1166,2.6159,-5.8728,-4.2141,8.4887,4.1788,-5.8728,0.4713,10.0516,4.1788,-5.8728,0.6301,10.0516,2,3,-0.3284,16,6,-2.2777,16,15,-2.2777,121,17,-5.8728,,20,
ETH-USDT,2025-12-17T02:59:38+00:00,2025-12-17T04:59:38+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T02-59-38Z.json,1765936800,2959.63,2.4017,-5.698,-4.1377,8.0997,2.4017,-6.0693,-4.184,8.471,3.9613,-6.0693,-0.814,10.0306,3.9613,-6.0693,0.7001,10.0306,13,2,-2.4817,13,2,-2.4817,13,12,-2.4817,118,14,-6.0693,,16,
