asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h
ETH-USDT,2026-02-07T18:52:13+00:00,2026-02-07T20:52:13+02:00,2026-02-07,data/history/2026-02-07/2026-02-07T18-52-13Z.json,1770487200,2105.94,96,3.16,2.8512,2.981,7.9858,6.155,17.9497,2.1015,-0.8618,5.2931,-0.8618,17.0879,2.64,5.8467,1,1
ETH-USDT,2026-02-07T19:34:02+00:00,2026-02-07T21:34:02+02:00,2026-02-07,data/history/2026-02-07/2026-02-07T19-34-02Z.json,1770490800,2087.81,96,2.2719,3.0036,1.0395,8.2502,6.2084,18.1056,2.0234,-1.7377,4.4707,-1.7377,16.3679,1.7302,4.7705,1,1
ETH-USDT,2026-02-07T20:40:22+00:00,2026-02-07T22:40:22+02:00,2026-02-07,data/history/2026-02-07/2026-02-07T20-40-22Z.json,1770494400,2099.61,96,3.9092,3.989,2.1982,12.2516,6.1735,18.0038,1.9233,-1.1659,5.0076,-1.1659,16.8379,2.2041,5.107,1,1
ETH-USDT,2026-02-07T21:38:21+00:00,2026-02-07T23:38:21+02:00,2026-02-07,data/history/2026-02-07/2026-02-07T21-38-21Z.json,1770498000,2107.8,96,2.7138,4.6293,2.6118,13.9056,6.1495,17.9339,1.865,-0.7728,5.3767,-0.7728,17.161,2.4793,5.2283,1,1
ETH-USDT,2026-02-07T22:42:04+00:00,2026-02-08T00:42:04+02:00,2026-02-08,data/history/2026-02-08/2026-02-07T22-42-04Z.json,1770501600,2095.52,96,2.1876,4.2267,0.9685,12.0186,6.1856,18.039,1.8099,-1.3634,4.8222,-1.3634,16.6756,1.8557,4.379,1,1
ETH-USDT,2026-02-07T23:44:01+00:00,2026-02-08T01:44:01+02:00,2026-02-08,data/history/2026-02-08/2026-02-07T23-44-01Z.json,1770505200,2088.34,96,1.3079,3.4482,1.1994,14.33,6.2068,18.101,1.7513,-1.7119,4.495,-1.7119,16.3891,1.4706,3.7473,1,1
ETH-USDT,2026-02-08T03:31:51+00:00,2026-02-08T05:31:51+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T03-31-51Z.json,1770519600,2088.36,96,-0.5822,1.7665,0.3604,10.3994,6.2068,12.3317,1.5177,-1.7109,4.4959,-1.7109,10.6208,1.2465,2.9461,1,1
ETH-USDT,2026-02-08T05:37:25+00:00,2026-02-08T07:37:25+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T05-37-25Z.json,1770526800,2081.06,96,-0.2827,0.9547,-0.1387,6.2524,6.2286,12.3749,1.4423,-2.0677,4.1609,-2.0677,10.3072,0.9174,2.28,0,1
ETH-USDT,2026-02-08T07:03:48+00:00,2026-02-08T09:03:48+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T07-03-48Z.json,1770534000,2081.27,96,-0.7047,-0.482,2.6809,9.5567,5.9622,12.3737,1.2916,-2.0574,3.9048,-2.0574,10.3163,0.745,1.9187,1,1
ETH-USDT,2026-02-08T07:47:22+00:00,2026-02-08T09:47:22+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T07-47-22Z.json,1770534000,2079.01,96,-0.8125,-0.59,2.5694,9.4377,5.9687,12.3871,1.3295,-2.1683,3.8004,-2.1683,10.2188,0.6402,1.8104,1,1
ETH-USDT,2026-02-08T08:48:14+00:00,2026-02-08T10:48:14+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T08-48-14Z.json,1770537600,2112.77,96,1.1534,0.3529,4.6408,12.7039,5.9145,11.998,1.3801,-0.577,5.3375,-0.577,11.421,2.0704,3.2072,1,1
ETH-USDT,2026-02-08T09:42:14+00:00,2026-02-08T11:42:14+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T09-42-14Z.json,1770541200,2102.18,96,1.1203,0.0757,4.3504,9.541,5.9443,10.2208,1.3818,-1.0836,4.8607,-1.0836,9.1372,1.3737,2.4957,1,1
ETH-USDT,2026-02-08T10:43:42+00:00,2026-02-08T12:43:42+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T10-43-42Z.json,1770544800,2094.79,96,0.3358,0.3098,4.1904,8.7017,5.6273,10.0144,1.3918,-1.4402,4.1871,-1.4402,8.5741,0.8493,1.9631,1,1
ETH-USDT,2026-02-08T11:33:37+00:00,2026-02-08T13:33:37+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T11-33-37Z.json,1770548400,2127.48,96,2.0545,1.9416,5.3871,10.0508,5.7143,10.1096,1.3924,-0.1307,5.5836,-0.1307,9.9789,2.1975,3.3493,1,1
ETH-USDT,2026-02-08T13:11:20+00:00,2026-02-08T15:11:20+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T13-11-20Z.json,1770555600,2125.69,96,1.9809,1.4146,4.1275,9.0025,6.4261,9.9586,1.3534,-0.9221,5.5041,-0.9221,9.0366,1.7467,2.8555,1,1
ETH-USDT,2026-02-08T14:42:55+00:00,2026-02-08T16:42:55+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T14-42-55Z.json,1770559200,2119.23,96,0.1588,1.4626,4.8802,7.1065,6.4457,8.6857,1.3107,-1.2297,5.216,-1.2297,7.456,1.2366,2.3968,1,1
ETH-USDT,2026-02-08T15:37:23+00:00,2026-02-08T17:37:23+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T15-37-23Z.json,1770562800,2107.06,96,0.297,1.3551,2.6777,6.3715,6.483,8.2622,1.3359,-1.8144,4.6686,-1.8144,6.4478,0.5261,1.6699,1,1
ETH-USDT,2026-02-08T16:46:21+00:00,2026-02-08T18:46:21+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T16-46-21Z.json,1770566400,2094.41,96,-0.0801,0.3176,2.1335,2.8613,5.3614,7.2011,1.3287,-2.4293,2.9321,-2.4293,4.7717,-0.1668,0.999,1,1
ETH-USDT,2026-02-08T17:39:22+00:00,2026-02-08T19:39:22+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T17-39-22Z.json,1770570000,2093.55,96,-1.8205,0.4269,1.5606,1.2722,4.1222,7.204,1.3625,-2.4714,1.6508,-2.4714,4.7326,-0.2453,0.9443,1,1
ETH-USDT,2026-02-08T18:53:04+00:00,2026-02-08T20:53:04+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T18-53-04Z.json,1770573600,2110.2,96,-0.9951,1.4841,0.6228,3.1893,3.7726,7.1472,1.3621,-1.6629,2.1098,-1.6629,5.4843,0.5248,1.6819,1,1
ETH-USDT,2026-02-08T19:34:50+00:00,2026-02-08T21:34:50+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T19-34-50Z.json,1770577200,2112.98,96,-0.6409,1.3711,1.0343,2.2576,3.7677,7.1378,1.2915,-1.5291,2.2385,-1.5291,5.6087,0.6153,1.7689,1,1
ETH-USDT,2026-02-08T20:40:11+00:00,2026-02-08T22:40:11+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T20-40-11Z.json,1770580800,2113.63,96,-0.7121,-0.1059,0.3938,2.8806,3.7665,7.1356,1.2949,-1.4979,2.2686,-1.4979,5.6377,0.6024,1.7258,1,1
ETH-USDT,2026-02-08T21:38:41+00:00,2026-02-08T23:38:41+02:00,2026-02-08,data/history/2026-02-08/2026-02-08T21-38-41Z.json,1770584400,2092.1,96,-0.7717,-0.4151,-0.4042,1.8475,3.8053,7.209,1.3284,-2.5424,1.2628,-2.5424,4.6666,-0.3878,0.6604,0,1
ETH-USDT,2026-02-08T22:44:12+00:00,2026-02-09T00:44:12+02:00,2026-02-09,data/history/2026-02-09/2026-02-08T22-44-12Z.json,1770588000,2104.89,96,1.1417,0.4198,0.7935,1.42,3.7821,7.1652,1.2778,-1.9193,1.8628,-1.9193,5.2459,0.1847,1.244,1,1
ETH-USDT,2026-02-08T23:43:07+00:00,2026-02-09T01:43:07+02:00,2026-02-09,data/history/2026-02-09/2026-02-08T23-43-07Z.json,1770591600,2087.44,96,-0.2256,-2.107,0.023,1.1558,4.141,7.5523,1.4879,-3.0985,1.0424,-3.0985,4.4538,-0.655,0.3765,1,1
ETH-USDT,2026-02-09T03:17:41+00:00,2026-02-09T05:17:41+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T03-17-41Z.json,1770606000,2086.69,96,-0.3439,-1.0283,0.3752,0.2802,4.6499,7.555,1.4273,-3.1356,1.5144,-3.1356,4.4194,-0.6477,0.2602,1,1
ETH-USDT,2026-02-09T05:42:44+00:00,2026-02-09T07:42:44+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T05-42-44Z.json,1770613200,2093.26,96,0.1574,0.0526,0.413,0.4467,4.6354,7.5313,1.3581,-2.8119,1.8235,-2.8119,4.7194,-0.384,0.55,1,1
ETH-USDT,2026-02-09T07:19:20+00:00,2026-02-09T09:19:20+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T07-19-20Z.json,1770620400,2083.38,96,0.5944,-2.0365,-0.0489,2.785,4.6573,7.3016,1.2935,-3.2994,1.3579,-3.2994,4.0022,-0.8617,-0.0177,0,1
ETH-USDT,2026-02-09T09:06:59+00:00,2026-02-09T11:06:59+02:00,2026-02-09,data/history/2026-02-09/2026-02-09T09-06-59Z.json,1770627600,2053.02,96,-2.2525,-1.9519,-2.2753,1.9101,5.7272,7.4096,1.2982,-4.827,0.9001,-4.827,2.5825,-2.0509,-1.5254,0,1
