asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2026-01-29T10:53:58+00:00,2026-01-29T12:53:58+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T10-53-58Z.json,1769680800,2949.09,96,-0.3884,-2.5874,-2.9719,1.1601,2.9487,3.9683,0.8514,-2.729,0.2197,-2.729,1.2394,-1.8616,-1.7413,0,1,-0.511,-7.9163,-7.226,7.4053,-0.511,-10.7437,-10.0061,10.2326,-0.511,-29.1039,-27.4217,28.5929,-0.511,-37.2213,-32.5819,36.7103,,1,,,4,,,5,,,5,,,8,
ETH-USDT,2026-01-29T11:42:43+00:00,2026-01-29T13:42:43+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T11-42-43Z.json,1769684400,2945.46,96,-0.6828,-2.565,-3.2807,0.8032,3.374,3.9732,0.8531,-2.8556,0.5184,-2.8556,1.1177,-1.8464,-1.8783,0,1,-0.3884,-7.8029,-6.8981,7.4145,-0.3884,-10.6337,-9.9737,10.2453,-0.3884,-29.3774,-28.5239,28.989,-0.3884,-37.1439,-32.2802,36.7555,,3,,,3,,,4,,,4,,,7,
ETH-USDT,2026-01-29T13:20:46+00:00,2026-01-29T15:20:46+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T13-20-46Z.json,1769691600,2939.44,96,-0.8604,-2.3948,-3.4876,0.6899,2.7022,3.779,0.7926,-2.359,0.3433,-3.0662,0.7127,-1.7633,-2.0995,0,1,-1.5717,-7.614,-6.6656,6.0423,-1.5717,-10.4506,-10.3156,8.8789,-1.5717,-29.9666,-29.16,28.3949,-1.5717,-37.0152,-32.2412,35.4435,,1,,,1,,,2,,,2,,,5,
ETH-USDT,2026-01-29T14:54:06+00:00,2026-01-29T16:54:06+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T14-54-06Z.json,1769695200,2937.15,96,-1.1164,-2.0708,-3.2132,-0.2154,3.9337,4.6416,0.854,-2.4388,1.495,-3.1466,1.495,-1.7064,-2.1715,0,0,-3.8476,-7.542,-5.8581,3.6944,-3.8476,-13.939,-10.2542,10.0914,-3.8476,-30.3062,-28.2863,26.4586,-3.8476,-36.9661,-32.0372,33.1185,,1,,,1,,,1,,,1,,,4,
ETH-USDT,2026-01-29T15:50:22+00:00,2026-01-29T17:50:22+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T15-50-22Z.json,1769698800,2877.43,96,-2.654,-3.2052,-4.7552,-2.1818,7.0893,7.8118,1.1976,-4.5648,2.5245,-5.2874,2.5245,-3.5117,-4.1179,0,0,-1.852,-5.6231,-4.3209,3.7711,-1.852,-12.1529,-11.2024,10.3009,-1.852,-31.4051,-28.6172,29.5531,-1.852,-35.6579,-31.0218,33.8059,,1,,,1,,,3,,,3,,,11,
ETH-USDT,2026-01-29T16:56:27+00:00,2026-01-29T18:56:27+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T16-56-27Z.json,1769702400,2826.91,96,-4.143,-4.5153,-6.3248,-5.7147,6.5227,7.2581,1.3227,-6.4335,0.0891,-7.169,0.0891,-4.9523,-5.6892,0,0,-0.098,-3.9365,-2.9216,3.8385,-0.098,-10.6809,-9.7516,10.5829,-0.098,-30.1792,-28.6065,30.0813,-0.098,-34.508,-31.0187,34.41,,2,,,2,,,2,,,10,,,28,
ETH-USDT,2026-01-29T17:51:21+00:00,2026-01-29T19:51:21+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T17-51-21Z.json,1769706000,2860.02,96,-2.9007,-3.5637,-5.6635,-4.4845,6.4472,7.1741,1.2451,-5.2014,1.2458,-5.9283,1.2458,-3.6204,-4.5019,0,0,-1.6486,-5.0486,-4.1619,3.4,-1.6486,-15.9988,-12.752,14.3502,-1.6486,-30.9875,-30.004,29.339,-1.6486,-35.2662,-32.8763,33.6176,,1,,,1,,,1,,,1,,,16,
ETH-USDT,2026-01-29T19:38:48+00:00,2026-01-29T21:38:48+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T19-38-48Z.json,1769713200,2811.45,96,-4.3542,-5.1772,-7.0355,-6.0357,8.7065,9.446,1.5449,-7.0188,1.6877,-7.7583,1.6877,-4.7186,-5.9042,0,0,0.0505,-3.4082,-1.7863,3.4587,0.0505,-15.89,-12.856,15.9405,0.0505,-30.9591,-30.5824,31.0096,0.0505,-34.1479,-31.5702,34.1984,,6,,,6,,,6,,,11,,,37,
ETH-USDT,2026-01-29T20:45:41+00:00,2026-01-29T22:45:41+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T20-45-41Z.json,1769716800,2804.12,96,-4.5292,-5.595,-7.7052,-7.393,8.7293,9.4707,1.4957,-7.2985,1.4308,-8.04,1.4308,-4.6518,-6.0028,0,0,0.312,-4.2438,-2.185,4.5558,0.312,-15.7272,-14.1524,16.0393,0.312,-33.9757,-30.7112,34.2878,0.312,-33.9757,-31.0957,34.2878,,5,,,5,,,5,,,10,,,36,
ETH-USDT,2026-01-29T21:38:51+00:00,2026-01-29T23:38:51+02:00,2026-01-29,data/history/2026-01-29/2026-01-29T21-38-51Z.json,1769720400,2819.99,96,-1.9962,-4.5973,-6.7414,-6.9405,8.6802,9.4174,1.3991,-6.6947,1.9855,-7.4319,1.9855,-3.846,-5.3374,0,0,-0.2525,-4.7826,-3.6259,4.5302,-0.2525,-16.2015,-14.4054,15.949,-0.2525,-34.3473,-32.1838,34.0948,-0.2525,-34.3473,-31.6338,34.0948,,3,,,4,,,4,,,5,,,34,
ETH-USDT,2026-01-29T22:43:31+00:00,2026-01-30T00:43:31+02:00,2026-01-30,data/history/2026-01-30/2026-01-29T22-43-31Z.json,1769724000,2825.33,96,-0.4001,-4.1965,-6.6753,-6.5426,8.6471,9.3996,1.3339,-6.4764,2.1707,-7.2289,2.1707,-3.3939,-5.0303,0,0,-0.441,-4.9626,-4.1599,4.5216,-0.441,-16.3599,-14.1721,15.9188,-0.441,-34.4714,-33.0956,34.0304,-0.441,-34.4714,-31.2855,34.0304,,2,,,3,,,3,,,4,,,33,
ETH-USDT,2026-01-29T23:37:56+00:00,2026-01-30T01:37:56+02:00,2026-01-30,data/history/2026-01-30/2026-01-29T23-37-56Z.json,1769727600,2827.76,96,-1.128,-3.996,-6.4585,-6.8314,8.2164,9.3915,1.2691,-5.9616,2.2548,-7.1367,2.2548,-3.0411,-4.8104,0,0,-0.8933,-5.0443,-4.0979,4.151,-0.8933,-16.4317,-12.5081,15.5384,-0.8933,-34.5277,-32.5381,33.6344,-0.8933,-34.5277,-30.9482,33.6344,,1,,,2,,,2,,,3,,,21,
